Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1961","1961","t","300","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1961","1961","1000 USD","40","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1961","1961","t","1943800","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1961","1961","1000 USD","88680","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1962","1962","t","131000","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1962","1962","1000 USD","8770","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1962","1962","t","882300","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1962","1962","1000 USD","54280","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1963","1963","t","1700","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1963","1963","1000 USD","130","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1963","1963","t","1672900","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1963","1963","1000 USD","102190","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1964","1964","t","548","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1964","1964","1000 USD","60","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1964","1964","t","2583700","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1964","1964","1000 USD","158080","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1965","1965","t","478","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1965","1965","1000 USD","50","A","Official figure",""
